ID	CK_1	CK_2	CK_3	Induce1h_1	Induce1h_2	Induce1h_3	Induce6h_1	Induce6h_2	Induce6h_3	Induce24h_1	Induce24h_2	Induce24h_3	Induce48h_1	Induce48h_2	Induce48h_3
AT3G45140	12.9195023393716	12.6051333689927	12.8677813953764	16.0464838712726	15.8476487723606	15.768075177278	18.0180718069154	17.899655549819	17.8478230751311	18.0735700446856	18.0178482492576	17.9442339983187	17.9406436235729	18.0144885970052	18.0351318740849
AT2G34420	17.1764405743886	17.1356306371961	17.0021453422317	16.7153893545967	16.6433578841427	17.2070784985956	13.9884698488512	13.8026588690277	13.526896447996	17.0124733506081	17.2904928435717	16.9612972613217	15.2394524401232	14.8264635292277	14.8994242262548
AT1G29920	16.8895145314845	16.7131010090019	16.6658261898189	16.1674642200327	16.1564773346306	16.5938694735649	12.2333699587003	12.5828096878135	12.1629627962556	16.9004540222312	17.1116921552433	16.9626580540132	13.8007100911391	13.4644791571995	13.4517831392276
AT1G67090	18.8038422351536	18.6558190216527	18.6525801177607	18.5620860351453	18.4115866933539	18.5896880217619	18.3633639914271	18.3454444380593	18.2603994621995	18.087652326477	18.1244783396077	17.9555733460707	17.8619632269198	17.8836327302576	17.9184414856683
AT1G52400	11.177992438665	11.044621206365	11.2721780274713	13.363495101408	13.1695511931314	13.2125171610701	16.0697372820549	15.8738452201784	15.783755503029	16.6696596580007	16.7616622212262	16.7517400990947	16.6326240634718	16.6015629979426	16.5631240237891
AT1G29930	18.3810238314751	18.2864019985025	18.1629575769429	18.1544113678586	18.0995233948839	18.4169786646218	16.9471538324929	16.9433253162013	16.8051930620871	18.0189547103012	18.2643076726692	18.0059743152602	17.2133371973663	17.0187568284848	16.9819509400175
AT5G38410	17.3163408039299	17.2462001650694	17.2256098101341	17.1586120789575	17.0852773257582	17.3016959873197	16.7977807522134	16.7854547532259	16.7067725008976	16.398270772265	16.3920962916101	16.3159134731969	16.1060120892425	16.0750587290957	16.0361081114526
AT2G39730	16.6908050920333	16.6663574812128	16.5340649501948	16.1782482213528	16.2232673911699	16.47561974028	15.1650417790146	15.1121365365823	14.9716458734682	16.2238589399789	16.3145837849708	16.2213051649198	15.3017392184565	15.2307139150755	15.1109052989147
AT5G24780	7.15312523922222	6.90131720176365	7.42756766242734	12.1397916988881	11.7796835804765	12.052798333647	14.9529701264069	14.9104948411191	14.8082336181999	15.5783108167758	15.5143214739494	15.5642130916362	16.0422404721213	15.8958398056153	15.9415944953223
ATCG00480	17.334993036479	17.2730667120721	17.4105872026684	17.296394478581	16.9293802601878	16.8363804142064	16.9642520409051	16.8009042209801	16.8572020282134	16.7055821260079	16.5291342387749	16.5346936527126	16.0699914658405	16.1942567775873	16.2277088222482
AT1G29910	16.8158138859791	16.6901573609688	16.626086189023	16.417550389536	16.432869589016	16.817001524046	13.8793957812555	13.914718055913	13.6869227045456	16.4176065745164	16.6885026284183	16.5040932819309	14.8545778969651	14.5247948836587	14.5630069677475
AT3G47470	16.3630223945228	16.2386289022051	16.280508989107	15.8795462811362	15.7473181547441	16.0663991687094	13.172939331481	13.196306108603	12.9747456883417	16.1570718799536	16.3291197046543	16.1456972139326	14.0472807969305	13.8105673827611	13.8247774983069
AT2G05100	15.5921932314757	15.4295288623173	15.4219192941357	14.5183216489829	14.2934769856713	14.9639536683403	9.41692194422285	9.32220608604301	9.14176355211541	15.579314097537	15.8184691394324	15.4678684834531	11.7096999194962	11.3269120328616	11.340751531698
AT5G54270	16.2013590087529	16.0894178270076	15.9988076989445	15.737268438265	15.650754867944	15.9129807724376	12.6027596590665	12.5668216410128	12.4726608210128	16.1479789608441	16.2524066585752	16.0593083886705	13.6201658086049	13.2809518672191	13.4109378364535
AT3G25770	11.5706583332495	11.3416723112192	11.5073397526764	14.5795418920557	14.107610572257	14.007141764796	15.8506439690019	15.608396450997	15.6490539495048	15.4375041026046	15.7149564330411	15.3547938940247	16.0907835350756	16.1181876851025	16.3018918017558
AT5G24770	8.88899721929289	8.51408972829162	8.88766400475656	12.8094263798708	12.4403728615613	12.6727541769651	14.7010755241215	14.6075283103736	14.5059835269201	15.8849303766696	15.8575845273773	15.8913947374673	15.6376546668103	15.437265097039	15.4383048643201
AT3G54890	16.4036791552679	16.2922430999153	16.2447097654712	16.0040521495122	15.9157690036036	16.2964376727266	13.8697348861447	13.7506748600834	13.5763489506002	16.101431181337	16.2583453872958	16.0548119055535	14.3707769542547	14.2011422498847	14.2496525482556
AT4G10340	16.2942647625602	16.1390523247971	16.1620834195382	15.9419238799746	15.9528838753157	16.3530352083452	14.2004541837256	14.2033025852115	14.0244297129268	15.8590980376298	16.1144885291466	16.0190664729905	14.6797450972771	14.4425840011057	14.4169612267075
AT4G23600	9.54181871318838	9.03756261439277	9.03609142415392	12.6362757371737	12.3234844471883	12.5677909758196	15.2456949418637	15.0349745635688	14.8815955566848	15.4613543921704	15.4750414137252	15.4544141187521	15.1607401903037	15.1938690150769	15.1991163479322
AT2G05070	15.2596176484753	15.0729968964689	15.1088637679386	14.2796791862587	14.061340560247	14.5753890044707	9.51635740373642	9.67997589741574	9.44860875457546	15.3074541182905	15.4808258437699	15.1427802925391	11.5423219141143	11.2153747598356	11.3300883375661
AT3G44310	13.766865368992	13.7750867484404	13.7264844521584	14.1145720519481	14.2105300296914	14.3010438000481	15.150465198233	15.1886043169612	15.2057750872506	15.7956366221266	15.9011037738752	15.8763166150463	15.6551546460439	15.705974940758	15.5795865178985
AT5G66570	16.411500051827	16.3710605777941	16.2852847537986	16.2724230887615	16.2336176243872	16.4935927302102	15.5278240990673	15.4469560207609	15.3301502356882	16.0319062915998	16.2291524002595	16.0069600441408	15.6269930128875	15.4544685812766	15.4797926566448
AT1G31330	15.824998602011	15.8315780928289	15.8092094108717	15.6578159050041	15.4930282474681	15.6327714331525	14.4996605362335	14.4117704453777	14.372178017577	15.3004967118016	15.4066215728951	15.2825733394506	14.3238793023806	14.2228464762225	14.3124894896376
AT1G61520	15.9686005829217	15.9052380287297	15.8413201655086	15.6799768794809	15.5674751850482	15.8597571664543	14.3119297709399	14.2260304649155	14.0781933963137	15.6421048953166	15.778202575052	15.6172120318429	14.4700179501318	14.2600132914091	14.3190182909849
AT5G01530	16.3337554717454	16.262887078008	16.2086127166242	16.0722943481246	16.0579737160426	16.422314028926	15.0877231240597	15.0961018779759	14.959010617129	15.8999955885831	16.0781259996581	15.8086916469672	15.1670083176024	15.0563429505529	15.0329895241476
AT1G15820	15.6197332477627	15.5283961658046	15.4555708885504	15.133575277245	15.1971418062211	15.8155916100334	13.3053593481304	13.3205735081868	13.1663780304494	15.2562838562501	15.5987122027338	15.3654054785859	13.872568378647	13.5485496412334	13.4830064727542
AT3G61470	16.0547969281565	15.9623135813706	15.8832681608584	15.8273577257981	15.7019669852376	16.0433183049478	14.7892373223304	14.6691098214963	14.5661098477757	15.7421851398966	15.9345205770196	15.6349934036064	14.903077475427	14.7118036887526	14.7041659936806
AT3G08940	14.7969488324065	14.6698769812053	14.6408718890873	14.1078625676618	13.8560862086378	14.1803831263604	11.3174211151453	11.2728248491194	11.1841050223579	14.7566606458442	14.9520090887044	14.5813871022656	12.5207563543588	12.3600263598792	12.4276697545472
AT1G20620	15.734080493072	15.7808516717428	15.7822672287392	15.7696614379581	15.6699120837856	15.7298859426822	15.4423694854446	15.3198730397791	15.3126232016303	16.0829389624423	16.2471874568199	15.9781363372513	16.2555341273157	16.2579708743049	16.3173782402811
AT2G34430	15.3242374995197	15.1275523832467	15.1077090489787	14.8372758083488	14.5972454759	15.1311764488151	11.4503045797113	11.17110189788	10.5505472859314	14.6574799363296	14.6598965165713	14.5011501976113	11.8509298659543	11.2382765416285	11.3965017514412
AT1G19570	12.2702555367108	12.1680667739991	12.1758027960622	14.2904107310232	14.2656199606299	14.4207949950909	15.0782245606553	14.9758455265285	14.9306449713087	15.4327659740788	15.5451292828061	15.4546212108387	15.4662547199777	15.4103205259482	15.4404913791221
AT5G13630	14.9776076163873	14.942979907424	14.9118659881633	14.3113125961221	14.2439403193183	14.3426774156895	12.4974066696587	12.4823789297887	12.3815697639625	14.5507924948147	14.5642773313825	14.5715427629905	12.6504004296951	12.5306732239138	12.5196519059702
AT1G06680	15.7868607972601	15.7364998883478	15.7498790153396	15.6593955935274	15.456587462125	15.6039374525966	14.7382318244158	14.640598396646	14.5748395911249	15.4383960894954	15.5820287172148	15.4434270779391	14.8429079373069	14.7498440034107	14.7885578069784
